City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Dropoff Time,Distance (miles),Fare Amount,Fare Currency
493,UberEATS Marketplace,COMPLETED,2021-06-11 22:38:02 +0000 UTC,2021-06-11 23:26:05 +0000 UTC,2021-06-11 23:26:05 +0000 UTC,2.33273739570953,89.44,BRL
493,UberEATS Marketplace,COMPLETED,2021-06-11 22:27:16 +0000 UTC,2021-06-11 23:24:08 +0000 UTC,2021-06-11 23:24:08 +0000 UTC,3.82630565211125,29.53,BRL
493,UberEATS Marketplace,COMPLETED,2021-06-03 22:30:47 +0000 UTC,2021-06-03 23:08:12 +0000 UTC,2021-06-03 23:08:12 +0000 UTC,2.33273739570953,39.14,BRL
493,UberX,COMPLETED,2021-05-30 18:30:19 +0000 UTC,2021-05-30 18:34:19 +0000 UTC,2021-05-30 18:41:46 +0000 UTC,2.10239960307181,9.59,BRL
493,UberX,COMPLETED,2021-05-17 00:00:09 +0000 UTC,2021-05-17 00:05:17 +0000 UTC,2021-05-17 00:11:48 +0000 UTC,1.53396096402856,8.05,BRL
493,Comfort,CANCELED,2021-05-03 20:59:29 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberX,CANCELED,2021-05-03 20:57:23 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberX,COMPLETED,2021-05-02 15:07:33 +0000 UTC,2021-05-02 15:18:58 +0000 UTC,2021-05-02 15:27:23 +0000 UTC,1.74730477631178,7.61,BRL
493,UberEATS Marketplace,COMPLETED,2021-04-28 14:20:29 +0000 UTC,2021-04-28 15:14:06 +0000 UTC,2021-04-28 15:14:06 +0000 UTC,1.09818757989607,33.49,BRL
493,UberX,CANCELED,2021-04-17 18:57:27 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,Flash,COMPLETED,2021-04-07 15:42:54 +0000 UTC,2021-04-07 15:47:09 +0000 UTC,2021-04-07 15:56:04 +0000 UTC,2.46655676921425,8.51,BRL
493,Flash,COMPLETED,2021-03-09 11:52:40 +0000 UTC,2021-03-09 11:58:29 +0000 UTC,2021-03-09 12:04:31 +0000 UTC,1.13652338730204,5.78,BRL
493,UberX Promo,CANCELED,2021-03-06 14:42:38 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,Flash,COMPLETED,2021-02-22 12:09:24 +0000 UTC,2021-02-22 12:11:55 +0000 UTC,2021-02-22 12:20:55 +0000 UTC,1.53492944787068,7.7,BRL
493,Flash,COMPLETED,2021-02-09 23:11:16 +0000 UTC,2021-02-09 23:20:05 +0000 UTC,2021-02-09 23:29:06 +0000 UTC,1.15870073032556,5.99,BRL
